name,rating,review_count,category,address,phone,website,hours,price_level,blt_name,place_type,lat,lng,crawl_time,source_address
貝呑,4.0,246,海鲜,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
居酒屋釣吉,4.1,78,居酒屋,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
BRASSERIE LE ZINC,4.0,68,居酒屋,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
Stella Collis,4.2,40,意大利风味,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
椿,,0,成人教育学院,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
ボラボラ,,0,小吃吧,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
株式会社ユニバーサル・フィナンシャル,,0,保险机构,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
メンズリラクゼーション,,0,按摩师,"手島ビル 2F, 1 Chome-7-1 Kajicho",,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
水の恋,,0,泰式按摩治疗师,1 Chome-7-1 Kajicho,,,,,1-chōme-7-1 Kajichō,建筑物,35.6903667,139.7712745,2025-07-02 16:16:15.857383,東京都千代田区鍛冶町1丁目7-1
PARKS PARK千代田神田小川町3丁目第2,4.0,1,停车场,1 楼,,,,,"〒101-0052 Tokyo, Chiyoda City, Kanda Ogawamachi, 3-chōme−6−2 ＮＫビル",建筑物,35.6951129,139.7623342,2025-07-02 16:16:23.385907,東京都千代田区神田小川町3丁目6-2
三井のカーシェアーズ リパーク千代田区鍛冶町１丁目第３,4.0,1,租车交接点,1 楼,,,,,"〒101-0044 Tokyo, Chiyoda City, Kajichō, 1-chōme−10−7 KT鍛冶町ビル",建筑物,35.6904399,139.7732851,2025-07-02 16:16:29.308918,東京都千代田区鍛冶町1丁目10-7
AKIHABARA BENTO,4.3,4,盒饭供应商,1 楼,,,,,"〒101-0021 Tokyo, Chiyoda City, Sotokanda, 6-chōme−5−9 ローズマンション ミヤハラ",建筑物,35.7032925,139.7701829,2025-07-02 16:16:30.386236,東京都千代田区外神田6丁目5-9
